ID,TIME_MOVE,SUCCESS
0,86358,1
1.584962501,295,1
1.584962501,162,1
1.584962501,248,1
1.584962501,311,1
1.584962501,278,1
1.584962501,349,1
1.584962501,296,1
2.137503524,234,1
2.137503524,189,1
2.137503524,281,1
2.137503524,315,1
2.137503524,297,1
2.137503524,332,1
2.137503524,230,1
2.137503524,303,1
2.137503524,349,1
2.169925001,217,1
2.169925001,281,1
2.169925001,300,1
2.169925001,262,1
2.169925001,298,1
2.169925001,334,1
2.169925001,297,1
2.169925001,212,1
2.169925001,294,1
2.412892814,230,1
2.412892814,263,1
2.412892814,230,1
2.412892814,283,1
2.412892814,280,1
2.412892814,294,1
2.584962501,340,1
2.584962501,292,1
2.584962501,370,1
2.722466024,347,1
2.722466024,308,1
2.722466024,353,1
2.722466024,268,1
2.722466024,382,1
2.722466024,327,1
2.722466024,530,1
2.895386019,300,1
2.895386019,382,1
2.895386019,310,1
2.895386019,363,1
2.895386019,263,1
2.895386019,447,1
2.895386019,529,1
2.895386019,597,1
2.895386019,335,1
2.895386019,451,1
2.895386019,403,1
2.997855314,362,1
2.997855314,268,1
2.997855314,347,1
2.997855314,354,1
2.997855314,315,1
2.997855314,470,1
2.997855314,363,1
2.997855314,311,1
2.997855314,385,1
2.997855314,398,1
2.997855314,299,1
2.997855314,379,1
2.997855314,317,1
2.997855314,266,1
2.997855314,380,1
3.137503524,446,1
3.137503524,348,1
3.169925001,332,1
3.169925001,382,1
3.169925001,352,1
3.169925001,300,1
3.169925001,436,1
3.169925001,363,1
3.169925001,378,1
3.169925001,318,1
3.169925001,463,1
3.169925001,282,1
3.169925001,316,1
3.216813584,337,1
3.216813584,434,1
3.216813584,385,1
3.216813584,397,1
3.216813584,396,1
3.216813584,516,1
3.412892814,345,1
3.412892814,443,1
3.412892814,400,1
3.48034852,447,1
3.48034852,325,1
3.48034852,396,1
3.48034852,578,1
3.48034852,380,1
3.48034852,431,1
3.48034852,364,1
3.48034852,317,1
3.722466024,384,1
3.722466024,469,1
3.722466024,418,1
3.722466024,313,1
3.722466024,368,1
3.722466024,511,1
3.722466024,584,1
3.722466024,351,1
3.722466024,370,1
3.801776084,402,1
3.801776084,363,1
3.801776084,488,1
3.801776084,399,1
3.997855314,638,1
3.997855314,360,1
3.997855314,264,0
3.997855314,438,1
3.997855314,516,1
3.997855314,647,1
3.997855314,447,1
4.169925001,494,1
4.169925001,482,1
4.169925001,347,1
4.169925001,459,1
4.169925001,636,1
4.48034852,482,1
4.48034852,462,1
4.722466024,395,1
4.801776084,527,1
4.801776084,409,1
4.801776084,465,1
4.801776084,585,1
4.997855314,493,1
4.997855314,478,1
4.997855314,495,1
4.997855314,467,1
4.997855314,613,1
